Year,Quarter,Daily_Users,Monthly_Users
2012,2,552,955
2012,3,584,1010
2012,4,618,1060
2013,1,665,1110
2013,2,699,1150
2013,3,728,1190
2013,4,757,1230
2014,1,802,1280
2014,2,829,1320
2014,3,864,1350
2014,4,890,1390
2015,1,936,1440
2015,2,968,1490
2015,3,1010,1550
2015,4,1040,1590
2016,1,1090,1650
2016,2,1130,1710
2016,3,1180,1790
2016,4,1230,1860
2017,1,1280,1940
2017,2,1320,2010
2017,3,1370,2070
2017,4,1400,2130
2018,1,1450,2200
2018,2,1470,2230
2018,3,1490,2270
2018,4,1520,2320
2019,1,1560,2380
2019,2,1590,2410
2019,3,1620,2450
2019,4,1660,2500
2020,1,1730,2600
2020,2,1790,2700
2020,3,1820,2740
2020,4,1840,2800
2021,1,1880,2850
2021,2,1910,2900
2021,3,1930,2910
2021,4,1930,2910
2022,1,1960,2940
2022,2,1970,2930
2022,3,1980,2960
2022,4,2000,2960
